"","title","lyrics"
"41","""The Abolition Of Man""","

Wake up everyone! It's not too late
To save the remnants of our hearts,
So stop giving up our last shot at love,
Our only chance to find the meaning of
The beat beneath the blood
We laugh at honor and are shocked when
We find knives in our backs
We follow those who cheat and steal
Look in my eyes, you won't find your way back
Our only compass smashed under our own heels
Reason abandoned to appetites and addicts arms
Shotguns and silence have always been the best of charms
Wake up everyone! It's not too late
To save the remnants of our hearts,
So stop giving up our last shot at love,
Our only chance to find the meaning of
The beat beneath the blood
We laugh at honor and are shocked when
We find knives in our backs
We follow those who cheat and steal
Look in my eyes, you won't find your way back
Our only compass smashed under our own heels, under our iron will
The abolition of man is within the reach of science
But are we so far gone that we'll try it?
"
"42","""Don't Tell And We Won't Ask""","

Paint the target
We don't need no evidence
Flood the market
We do it all in self defense
You're a smart kid
Never work without your gloves
If you're a smart kid
You'll stay the hell away from love
And if it comes to murder
Don't tell and we won't ask you how
You sleep at night when the lights go out
And you're all alone
With all the ghosts of lesser humans
Whose lives you've spilt to suit your own
Sit and think of
All the dollars and the cents
And your blue blood
You'll see it all makes perfect sense
Drink from this cup
A better life awaits us all
You're one of us
Remember conscience comes before the fall
Your actions all are justified
Your actions all are justified
And if it comes to murder
Don't tell and we won't ask you how
You sleep at night when the lights go out
And you're all alone
With all the ghosts of lesser humans
Whose lives you've spilt to suit your own
Cause it's need to know
We don't need to know
We don't need to know
Don't we all know life is sacred?
Don't we all know we bleed the same red blood?
"
"43","""Eclipse""","

call everyone to arms
we'll fill the heavens 
with the poisoned dreams of man
call everyone to arms
we forged these weapons 
with the strength of our own hands 
we shot the sun from the sky
apollo dead at our feet
we wander lost in the rye
we gather round in the street
for centuries we watched the sky
and burned to bridge the great divide
call everyone to arms
we'll fill the heavens 
with the poisoned dreams of man
call everyone to arms
we built these weapons 
with our pride and with the strength of our own hands
eclipse the body with stones
and lay him down with the rest
i smile when i am alone
and shed a tear for the press
for centuries we watched the sky
and burned to bridge the great divide 
cause we dug the body up
we drank his golden blood
and light shone from our eyes
but it was not enough
'cause we still dream of deicide
for centuries we watched the sky
we burned to bridge the great divide
but now we burn with power and pride
"
"44","""Stare At The Sun""","

I sit here clutching useless lists,
keys for doors that don't exist
I crack my teeth on pearls
I tear into the history
Show me what it means to me in this world
Yeah, in this world
'Cause I am due for a miracle
I'm waiting for a sign
I'll stare straight into the sun
And I won't close my eyes
Till I understand or go blind 
I see the parts but not the whole
I study saints and scholars both
No perfect plan unfurls
Do I trust my heart or just my mind
Why is truth so hard to find in this world
Yeah in this world
'Cause I am due for a miracle
I'm waiting for a sign
I'll stare straight into the sun
And I won't close my eyes
Till I understand or go blind (till I understand or go blind)
I know that there's a point I've missed
A shrine or stone I haven't kissed
A scar that never graced my wrist
A mirror that hasn't met my fist
But I can't help feeling like I'm
Due for a miracle
I'm waiting for a sign (waiting for a sign)
I'll stare straight into the sun
And I won't close my eyes (and I won't close my eyes)
Due for a miracle
I'm waiting for a sign
I'll stare straight into the sun
And I won't close my eyes
"
"45","""Cold Cash And Colder Hearts""","

They are sick, they are poor
And they die by the thousands and we look away
They are wolves at the door
And they're not gonna move us or get in our way
'Cause we don't have the time
Here at the top of the world
Feeling alright
Here at the top of the world
We hold our own by keeping our hearts cold
Different god, darker skin
They are just not a burden that we'd like to bear
They are living in ""sin""
There are so many reasons for us not to care
But I'm feeling alright
Here at the top of the world
Doing just fine
Here at the top of the world
We've learned money matters most
So we keep our cards held close
Here at the top of the world
We hold our own by keeping our hearts cold
And we've learned what matters most
So we keep our hearts cold
They are no one
They are nowhere
They are not our problem
Not worth saving
Nonexistent if we keep our hearts cold
They are no one
They are nowhere
"
"46","""The Artist In The Ambulance""","

Late night, brakes lock, hear the tires squeal
Red light, can't stop so I spin the wheel
My world goes black before I feel an angel lift me up
And I open bloodshot eyes into fluorescent white
They flip the siren, hit the lights, close the doors and I am gone
Now I lay here owing my life to a stranger
And I realize that empty words are not enough
I'm left here with the question of just
What have I to show except the promises I never kept?
I lie here shaking on this bed, under the weight of my regrets[Chorus:]
I hope that I will never let you down
I know that this can be more than just flashing lights and sound
Look around and you'll see that at times it feels like no one really cares
It gets me down but I'm still gonna try to do what's right, I know that there's
A difference between sleight of hand, and giving everything you have
There's a line drawn in the sand, I'm working up the will to cross it and[Chorus]
Rhetoric can't raise the dead
I'm sick of always talking when there's no change
Rhetoric can't raise the dead
I'm sick of empty words, let's lead and not follow
Late night, brakes lock, hear the tires squeal
Red light, can't stop so I spin the wheel
My world goes black before I feel an angel steal me from the
Greedy jaws of death and chance, and pull me in with steady hands
They've given me a second chance, the artist in the ambulance[Chorus]
Can we pick you off the ground, more than flashing lights and sound
"
"47","""That Hideous Strength""","

Oh, that I could scream
And the world would stop and listen
And these scars, these scars could speak in volumes
But who has ears to hear
Or eyes to see
Again I scream
But my voice is buried in an unearthly silence
Like in nightmares when ghosts steal your breath.
I pray that power be not in my words
But in truth that supersedes the mind of man
And our dead hope, and our blind faith in means that look to justify the ends.
I feel a presence in the room
I feel cold fingers close around my neck.
With out you I am lost.
Let my eyes not fail with looking upward
"
"48","""So Strange I Remember You""","

So strange I remember you in protest of a prayer,
and falling back from seas we fear to sail.
I swear I saw the shooter, gold teeth and a double dare,
Postmodern warnings seem inclined to fail.
Feigning an apology.
Those words they never left your lips.
Those 5 years in Bermuda slide by like the lights of passing ships,
So strange that I remember you,
kneeling deep in Nietzsche's lies
my throat was an open grave i drank your stained glass eyes
and they taste like dead cathedrals
that are crumbling beneath a weight, ten thousand jaded tourists
who've traded in their hearts and hands for
disposable cameras, set to document to decay,
set to capture just enough of life to catalogue the things we throw away.
(...breathing the fumes of our machines...)
We've lost our way.
(...breathing through television dreams...)
If we could only see us now.
If we could only see us now.
The words of the dead ring in our ears,
but its only a lie.
The voice in your head brings you to tears,
but you don't know why.
The words of the dead ring in our ears,
but its only a lie.
The voice in your head brings you to tears,
but its only a lie,
yes, its only a lie,
...isn't it?
"
"49","""Image Of The Invisible""","

We're more than carbon and chemicals
We are the image of the invisible
Free will is ours and we can't let go
We are the image of the invisible
We can't allow this, the quiet cull
We are the image of the invisible
So we sing out this, our canticle
We are the image of the invisible[Chorus:]
We all were lost now we are found
No one can stop us or slow us down
We are the named and we are known
We know that we'll never walk alone
We're more than static and dial tone
We are the image of the invisible
We're emblematic of the unknown
We are the image of the invisible
So raise the banner, bend back your bows
We are the image of the invisible
Remove the cancer, take back your souls
We are the image of the invisible[Chorus]
Though all the world may hate us, we are named
The shadow overtake us, we are known
We're more than carbon and chemicals
Free will is ours and we can't let go
We are the image of the invisible
We're more than carbon and chemicals
We are the image of the invisible
Free will is ours and we can't let go
We are the image of the invisible
We can't allow this, the quiet cull
We are the image of the invisible
So we sing out this, our canticle
We are the image of the invisible[Chorus x2]
Raise up the banner, bend back your bows
Remove the cancer, take back your souls
"
"50","""Between The End And Where We Lie""","

Is this everything, I've dreamed of so much more
between the end and where we lie
here all our hopes and dreams are scavenged from the floor
and fed into machines that feed on vacant eyes
all of my dreams, always find me
far beyond these fake fluorescent skies
I know there must be something more, if I could only find the door
then I could free myself and see the world outside
where daylight breaks on you and shines into the
grey that sleeps beneath your skull
daylight breaks on you and burns away the
grey that suffocates your soul
for now I hold a key, and though I may be lost
I know that I will find my way
I search endlessly but every time I've thought
that I was near the smoke and mirrors lead me astray
see the pit boss, steal each tick tock
time it seems will suffer at our hands
I look for exits in the haze, the dense electric twilight maze
I've heard that there is one that leads to sunlit lands
where daylight breaks on you and shines into the
grey that sleeps beneath your skull
daylight breaks on you and burns away the
grey that suffocates your soul
(daylight, daylight, daylight, daylight)
daylight, they tell me that it's just a myth
they try to betray me with a kiss
daylight, they tell me that it can't exist
they might never know just what they missed as
daylight pours fire into my grey eyes
pour grace into my grey life
breaks in and lights the way
I can't live without the day
"
"51","""The Earth Will Shake""","

we dream of ways to break these iron bars
we dream of black nights without moon or stars
we dream of tunnels and of sleeping guards
we dream of blackouts in the prison yard
heartbroken, we found 
(a gleam of hope)
harken to the sound, 
(a whistle blows)
heaven sent reply, 
(however small)
evidence of life
(beyond these walls)
born and bred 
(in this machine)
wardens dread 
(to see us dream)
we hold tight 
(to legends of)
real life, 
(the way it was before)
we dream of jailers throwing down their arms
we dream of open gates and no alarms
we dream of ways to break these iron bars
we dream of black nights without moon or stars[x3]
heartbroken, we found 
(a gleam of hope)
harken to the sound, 
(a whistle blows)
heaven sent reply, 
(however small)
evidence of life
(beyond these walls)
born and bred 
(in this machine)
wardens dread 
(to see us dream)
we hold tight 
(to legends of)
real life, 
(the way it was before)
look to the day the earth will shake
these weathered walls will fall away[x4]
"
"52","""Atlantic""","

it's been so long, and tin cans and string for years
is all that we've known, could it be you're really here
'cause my eyes are open, and everything still moves in slow-motion,
breathless and blue, and behind your eyes the sea
oceans of light envelop me
but things can't be as they seem, I'm so far from home
this must be another dream, but my eyes are open
and everything still moves in slow-motion,
breathless and blue, and behind your eyes the sea
oceans of light envelop me
my eyes are open, and everything still moves in slow-motion,
breathless and blue, and behind your eyes the sea
oceans of light envelop me
"
"53","""For Miles""","

I know one day, all our scars will disappear, like the stars at dawn
and all of our pain, will fade away when morning comes
and on that day when we look backwards we will see, that everything is changed
and all of our trials, will be as milestones on the way
and as long as we live, every scar is a bridge to someone's broken heart
and there's no greater love, than that one shed his blood for his friends
on that day all of the scales will swing to set all the wrongs to right
all of our tears, and all of our fears will take to flight
but until then all of our scars will still remain, but we've learned that if we'll
open the wounds and share them then soon they start to heal
as long as we live, every scar is a bridge to someone's broken heart
and there's no greater love, than that one shed his blood for his friends
we must see that every scar is a bridge, and as long as we live
we must open up these wounds
when some one stands in your shoes and will shed his own blood
there's no greater love. we must open up our wounds
"
"54","""Hold Fast Hope""","

how can you be sleeping, waves like weapons crash
o'er us, cry for mercy and hold fast hope
who of us is cursed, or do we have to ask
search your souls and hold fast
if no one speaks a word, then let the lots be cast
truth be told and hold fast
white death wakes in black skies, mark your maker's wrath
fear and flames of azure climb the crooked mast
you will yet be baptized, steeped in shattered glass
sink and sing your answer and hold fast hope
as strong arms grip your shoulders like dead hands of the past
pray as you're tossed over, this breath could be your last
quiet and cold, silent and slow
night black as coal, miles here below
find your faith and dive deep, through living gateways pass
lined with death and ivory, and hold fast, hold fast
deep beneath the black dawn, leagues from lightning's flash
ribs will raise cathedrals for the morning mass
steel yourself in sackcloth, roll your heart in ash
scrape your skin with steel wool and hold fast hope
cross your heart and hold fast hope
"
"55","""Music Box""","

we move for all mankind, a million miles from everything we've ever known
and we're on their hearts and minds, a million heads are bowed to bring us safely home
hemmed in by emptiness, a million ways that everything could be undone
this hollow in my chest is filled with reasons not to sing but I found one, I know
we are not alone, we feel an unseen love
we are sons and heirs of grace
we are children of a light that never dims
a love that never dies, keep your chin up child
and wipe the tears from your eyes
in sleep we saw ourselves, a million years we had been waiting there it seems
while someone weaves a spell, a million stars look on in witness to our dreams, I know
we are not alone, we feel an unseen love
we are sons and heirs of grace
we are children of a light that never dims
a love that never dies, keep your chin up child
and wipe the tears from your eyes
we feel an unseen love
we are children of light
we are not alone, we feel an unseen love
we are sons and heirs of grace
we are children of a light that never dims
a love that never dies, keep your chin up child
and wipe the tears from your eyes
stand ready and tall, reflect the light
"
"56","""Like Moths To Flame""","

once again these bitter herbs
the perfect compliment to all your cryptic words
I nod but don't know what to say, but I know you
and I believe you're who you say you are so I?
I will follow you, lay down my life
I would die for you, this very night
once again the bread and wine
but it seems the meanings may be deeper still this time
and you surprised me when you said I'd fall away, don't you know me
I could never be ashamed of you, no I?
I've never been this cold, the fire's gravity compels
like planets cling to sol, I feel my orbit start to fail
like moths to flame I come, too close and all my oaths are burned
as stars begin to run, all my accusers take their turn
and calling curses down, from my lips lies like poison spill
and then that awful sound, the sound of prophesy fulfilled
and then I met your eyes, and I remember everything
and something in me dies, the night that I betrayed my king
"
"57","""Of Dust And Nations""","

the towers that shoulder your pride
the words you've written in stone
sand will cover them, sand will cover you
the streets that suffer your name
your very flesh and your bones
sand will cover them, sand will cover you
so put your faith in more than steel
don't store your treasures up, with moth and rust
where thieves break in and steal
pull the fangs from out your heel
we live in but a shadow of the real
step out from time, see the dust of nations
step out from time, hear the stars ovation
Saturn will not sleep, until the sand has made us clean
still we stack our stones and bury what we can
but it all will be undone, and nothing built under the sun
will ever stand before the endless march of sand
so put your faith in more than steel
don't store your treasures up, with moth and rust
where thieves break in and steal
pull the fangs from out your heel
we live in but a shadow of the real
so put your faith in more than steel
don't store your treasures up, with moth and rust
where thieves break in and steal
pull the fangs from out your heel
we live in but a shadow of the real
"
"58","""Stand And Feel Your Worth""","

Wake, stand and feel your worth, O my soul.
Kneel and know the word that can save us all.
We are fuel and fire both.
We are water.
Wed with wine and ghost.
We are wrought with breath and dirt, washed in second sight.
Woven through the earth, wreathed in rings of light.
Stand and feel your worth, O my soul.
Kneel and know the word, come to die.
We will wield a second birth, whet our wits and knives.
Wrap our knees in earth, wrap ourselves in light.
Wake, we will weigh and drink this cup.
We will burn, but we will not burn up.
Wake, feel your worth, O my soul.
Speak the word, the word that can save us all.
Awed by grace, I fall on my face.
And scream the word that can save us all.
"
"59","""Red Sky""","

I know what lies beneath, I've seen the flash of teeth.
Conspiring with the reef to sink our ship.
The wind's a cheating wife, her tongue a thirsty knife.
And she could take your life with one good kiss.
Can you see the sky turn red?
As morning's light breaks over me,
Know tonight we'll make our bed
at the bottom of the sea.
I know the ocean speaks, I've heard her call to me.
And smiling in my dreams she whispers this
(The stars retreat behind their veil.
The clouds are clinging to your sail.
The storm is coming can you see?)
Can you see the sky turn red?
As morning's light breaks over me,
Know tonight we'll make our bed
at the bottom of the sea.
Look and see the sky turn red.
Like blood it covers over me.
And soon the sea shall give up her dead.
We'll raise an empire from the bottom of the sea
"
"60","""Flags Of Dawn""","

This darkness would
eclipse our will
a cold wind blows
across these hills
a swinging gaze
from a hangman's tree
a crow's nest view
of what's left to see
the light that's formed
of saints return the silence to the snow
still beneath the craters waiting
for this time to grow
so hold on 
hold tight
open daylight
we will overcome
so put away your fear
the morning star will soon appear
and bring an end
to this dark night
and we must run if we're to meet the light
watered by the blood of martyrs
blessed and blind as sons and daughters
sleep with one eye open
and live with both eyes shut
so let's find the place where sight begins
and see the things that we saw when our
eyes were bright and wet against the light
and hold on
hold tight
open daylight
we will overcome
open your eyes
over the new sight
fly the flags of dawn
"
"61","""The Weight Of Glory""","

A ring of Pharisees and one of them was me
We loved the letter but not the spirit
An infidelity, a woman on her knees
She begged for mercy, we couldn’t hear it
The teacher looked from us, his finger in the dust
We felt the chill and it shook us to our bones
Then he raised his head and this is what he said, 
“The one who has not sin should throw a stone”
I walked away in silence 
and threw myself upon the ground
These words they burned inside me 
Take up your cross before your crown
Go and judge not, lest ye be judged with the girl and come down 
I walked away in silence 
and threw myself upon the ground
These words they burned inside me 
Take up your cross before your crown
Take up your cross before your crown
Judge not, lest ye be judged with the girl and come down
Take up your cross before your crown
Your cross before your crown
"
"62","""Firebreather""","

Tell me are you free
Tell me are you free
In word or thought or deed
Tell me are you free
While the gallows stand
And bullets lance the bravest lungs
We fold our hands and hold our tongues
Tell me are you free
When the fear falls on you
Tell me are you free
When the fear falls on you
Tell me are you free
Tell me are you free
In word or thought or deed
Tell me are you free
While the gallows stand
And bullets lance the bravest lungs
Will I fold my hands or hold my tongue
Or let the flames lick at my feet
Or breathe in fire and know I'm free
Flames will rise and devour me
Oh, to breathe in fire and know I'm free
Know I'm free!
"
"63","""The Messenger""","

Mark me with Fear and Trembling
Send someone else instead
I know my world is ending
I can't repay my debt
Can I carry such a heavy burden?
Can I move when I am paralyzed?
I see a fire behind a heavy curtain
I lean in closer and I close my eyes
Kiss the coals; breathe in smoke
And I say, ""Here I am, send me.""
Lifts my soul, free and so unafraid
""Here I am, send me, send me.""
Free and so unafraid
""Here I am, send me.""
Mark me with fire and send me
Among the living dead
They cannot comprehend me;
I watch the sickness spread
How can they hear me when their hearts are hardened?
How can they see me when they close their eyes?
So they can tell that I'm an easy target
A wooden saw is quite a way to die
Kiss the coals; breathe in smoke
And I say, ""Here I am, send me.""
Lifts my soul, free and so unafraid
""Here I am, send me, send me.""
Free and so unafraid
""Here I am, send me.""
""Here I am, send me.""
"
"64","""Backdraft""","

Leave me here and lock the door;
latch the windows, lose the key.
But you'll be back some day.
What else is then is TRUE LOVE for,
if not to starve and wait for spring?
So I'll just sit and wait.
I'll just sit and wait.
Oh, swing the door wide open;
show me your jaded eyes.
I will turn them red,
drunk with vivid flame.
You will see again,
and you will learn your real name
Oh, swing the door wide open;
show me your jaded eyes.
I will turn them red,
drunk with vivid flame.
You will see again,
and you will learn your real name and speak it.
Leave me with no air to breathe;
leave me here to die alone.
But I won't suffocate.
I'll have everything I need,
when you forget and come back home;
so I'll just sit and wait.
I'll just sit and wait.
Oh, swing the door wide open;
show me your jaded eyes.
I will turn them red,
drunk with vivid flame.
You will see again,
and you will learn your real name,
when your whole world turns to fire.
Oh, swing the door wide open;
show me your jaded eyes.
I will turn them red,
drunk with vivid flame.
You will see again,
and you will learn your real name,
when your whole world turns to fire,
when your whole world turns to fire,
turns to fire.
"
"65","""The Arsonist""","

There is truth beneath the floorboards;
there is hope in brick and stone.
But they tell me just to shut my mouth;
leave well enough alone.
But I think maybe all that's needed,
is a match and gasoline;
because I don't think that any one of them believes that there will be a reckoning.
But I will see this city burn.
There are still good shepherds scattered,
but they're far between and few.
And the sheep's skin that the wolves all wear is so thin I see right through.
And I think maybe all that's need is some gas and open flame,
because I don't think that any one of them believes that fire can erase their names.
But I will see this city burn.
I said I will see this city burn.
We will burn it down and build it again,
what was buried in flame.
Burn it down and build it again from the bricks that remain.
I love this city, but I've set and numbered its days.
I love this city, enough that I'll set it ABLAZE.
There is truth beneath the floorboards;
there is hope in brick and stone.
But they tell me just to shut my mouth;
leave well enough alone.
But I think that maybe all that's needed is some flint and hardened steel;
because I don't think that any one of them believes that the revolution's real.
We will burn it down and build it again,
what was buried in flame.
Burn it down and build it again from the bricks that remain.
I love this city, but I've set and numbered its days.
I love this city, enough that I'll set it ABLAZE.
It will burn.
"
"66","""Burn The Fleet""","

In this dark night we stand or fall
We are kings now, or nothing at all
Check your armor; Light up your torch
Touch the flame to the sail before you head for shore.
And we will burn the fleet,
We can never go home;
It's on to victory or under ground.
Burn the fleet, we'll be heroes or ghosts
But we won't be turned around.
The old flag will burn with the sail
And a new one won't fly if we fail.
But the fire continues to rise,
And it shows not a hint of any fear in our eyes.
Burn the fleet, we can never go home;
It's on to victory or under ground
Burn the fleet, we'll be heroes or ghosts
But we won't be turned around.
"
"67","""The Flame Deluge""","

I feel that I was meant for something more
My curse, this awful power to unmake
And ever since you found your taste for war
You forced me onto those whose life you'd take
While Guernica in peaceful valley lay
And Dresden dreamed of anything but death
The day was turned to night and night to day
You let me loose upon their fragile flesh
And so I hid among the smaller things
You found me there and ferried me above
The flame deluge is waiting in the wings
The smallest thread holds back the second flood
And who will stand to greet the blinding light
It's lonely when there's no one left to fight
"
"68","""Digital Sea""","

I woke, cold and alone
Adrift in an open sea
Caught up in regrets
And tangled in nets
Instead of your arms wrapped around me
And I wept, but my tears are anathema here
Just more water to fill my lungs
I hear someone scream
""God what is it we have done?""
I am drowning in a digital sea
I am slipping beneath the sound
Here my voice goes to ones and zeros
I'm slipping beneath the sound
A song from somewhere below
Deadly and slow begins
Both sickly and sweet
Now picking up speed
Ushering in the world's end
And the ghost of Descartes screams again in the dark
""Oh how could I have been so wrong?""
But above the screams the sirens sing their song
I am drowning in a digital sea
I am slipping beneath the sound
Here my voices goes to ones and zeros
I'm slipping beneath the sound
Here my voice goes to ones and zeros[Repeat till the end]
"
"69","""Open Water""","

Ten thousand men sleep down with Davy Jones;
with stolen treasure they tithe.
The open water chills me to my bones,
but it's the only place that I feel alive.
The ocean floor begins to disappear;
I sense that terrible depth.
The open water is my only fear,
but I'll sail as long as I still have breath in me.
I'm starting to believe the ocean's much like you,
cause it gives, and it takes away.
Between the devil and the deep blue sea,
I stare into the abyss.
The open water is an awful thing,
but I'm anxious till the anchor is aweigh.
I'm starting to believe the ocean's much like you,
cause it gives, and it takes away.
I'm starting to believe the ocean's much like you,
cause it gives, and it takes away.
I'm starting to believe the ocean's much like you,
cause it gives, and it takes away.
"
"70","""Lost Continent""","

Was there a time that we know peace;
when all the children had a place to sleep
when rhetoric was not enough?
Was there a time we weren't at war
When we knew what our hearts and hands were for?
I don't believe there ever was.
It's always been a lie, 
a soothing lullaby
We'll soon be swallowed by the sea
Was there a time we looked around, 
and do we really even want to know what's going down
Well I think no one really does
We'd rather close our eyes
sing soothing lullabies
We'll soon be swallowed by the sea
The water's rising now
and we will surely drown
if we don't turn around
"
"71","""The Whaler""","

My lover's arms, 
they beg me to stay. 
But I know the storms, 
they will sweep me away. 
My daughter's eyes, 
they are two tiny seas, 
whose water will rise 
and then run down her cheeks. 
""Father where do you go, 
so far out upon the sea, 
when are you coming home to me?"" 
""Darling why do you leave, 
as the north wind begins to blow? 
Will you be coming home to me?"" 
The boat and the blade, 
they are all that I know; 
the sea calls my name, 
and so I must go. 
And while they still sleep, 
I slip out through the door; 
but how can I leave, 
with my anchors ashore? 
""Father where do you go? 
It's farther than I can see, 
when are you coming home to me?"" 
""Darling why do you leave, 
as the north wind begins to blow? 
Will you be coming home to me?""
"
"72","""Kings Upon The Main""","

The lesson you'd do well not to forget
Your life could be the one it's wisdom saves
At sea, where you're beleaguered and beset
On every side by strife of wind and waves
Despite the best of maps and the bravest men
For all their mighty names and massive forms
There'll never be, there has never been
A ship or fleet secure against the storms
When kings upon the main have clung to pride
And held themselves as masters of the sea
I've held them down beneath the crushing tide
Till they have learned that no one masters me
But grace can still be found within the gale
With fear and reverence, raise your ragged sail
"
"73","""Broken Lungs""","

Woke up to a brand new skyline
We licked our wounds and mourn the dead
Swallow the story hook and sinker
Is that what we meant when we said
That we never would forget?
Are we fools and cowards all
To let them cover up their lies?
Cause we all watched the buildings fall
Watched the scales fall from our eyes
A fire burns beneath Manhattan
Still we breathe with broken lungs
We act like none of this matters
Is that what we meant When we said
That we'd sing what must be sung?
Are we fools and cowards all
To let them cover up their lies?
Cause we all watched the buildings fall
Watched the scales fall from our eyes
We want answers
Scream from the roofs
We want justice
We want the truth
"
"74","""The Sky Is Falling""","

It's coming down, it's coming down, it's coming down
These clouds could never hope to save us
From such a juggernaut of weight
We all dance a jingo cabaret
It's coming down, it's coming down
There're shadows forming on the pavement
We face a watershed of hate;
We're just miles apart but worlds away
We're just miles apart but worlds away
The sky is falling
And no one will lift their eyes to see
The sky is falling
And no one will care as long as it lands overseas
It's coming down, it's coming down, it's coming down
This roof could never hope to save me
And my family from certain death;
If we could leave we would have left
It's coming down, it's coming down
My little girl is just a baby,
And I'm scared that she won't make her teens
But my fear just fuels the hate machine
My fear just fuels the hate machine
The sky is falling
And no one will lift their eyes to see
The sky is falling
And no one will care as long as it lands overseas
I want to be strong enough,
To not let my fears decide my fate
Surrounded by jingoists;
I don't want any part of this
I want to be strong enough,
To not let my terror turn to hate
Surrounded by jingoists;
I don't want any part of this
I want to be strong enough
To not let my fear decide my fate
Surrounded by jingoists;
I don't want any part of this
I want to be strong enough,
To not let my terror turn to hate
Surrounded by jingoists;
I don't want any part of this
"
"75","""A Song For Milly Michaelson""","

Well you know I hardly speak
When I do, it's just for you
I haven't said a word in weeks
Cause they've been keepin' me from you
There's a way where there's a will
You know I got no need for stairs
Step out on the window sill
Fall with me into the air
Here we go, hold on tight and don't let go
I won't ever let you fall
I love the night, flying over these city lights
But I love you most of all
And there's something you should know
Girl you should have died that day
and you fell reaching for the rose
but baby I was there to save you
So, here we go, hold on tight and don't let go
I won't ever let you fall
I love the night, flying over these city lights
But I love you most of all
Here we go, hold on tight and don't let go
I won't ever let you fall
I love the night, flying over these city lights
But I love you most of all
"
"76","""Daedalus""","

I stand on the cliffs with my son next to me
This island our prison, our home
And everyday we look out at the sea
This place is all he's ever known
But I've got a plan and some wax and some string; 
some feathers I stole from the birds
We leap from the cliff and we hear the wind 
sing a song that's too perfect for words
But son, please keep a steady wing
And know your the only one that means anything to me
Steer clear of the sun, or you'll find yourself in the sea
Now safely away, I let out a cry
""We'll make the mainland by noon""
But Icarus climbs higher still in the sky
Maybe I've spoken too soon
Oh son, please keep a steady wing
And know your the only one that means anything to me
Steer clear of the sun, or you'll find yourself in the sea
Won't you look at your wings
They're coming undone
They're splitting at the seams
Steer clear of the sun, for once won't you listen to me?
O, Gods!
Why is this happening to me?
All I wanted was a new life for my son to grow up free
And now you took the only thing that meant anything to me
I will never fly again, I will hang up my wings
O, Gods!
Why is this happening to me?
All I wanted was a new life for my son to grow up free
And now you took the only thing that meant anything to me
I will never fly again, I will hang up my wings!
O, Gods!
"
"77","""As The Crow Flies""","

Mother crow
Feels no pain
Speaks no word
Speckled egg
Hatching slow
Bible black
Baby bird
One day
Fly over me
Placed you in
Flannel coat
Months fly by
Grow your bones 
Feathers, skin
Bible black
By and by
You will spread your wings
One day
Fly over me
"
"78","""Silver Wings""","

From tender years you took me for granted
But still I deign to wander through your lungs
While you were sleeping soundly in your bed,
(Your drapes were silver wings, your shutters flung)
I drew the poison from the summer's sting,
And eased the fire out of your fevered skin.
I moved in you and stirred your soul to sing;
And if you'd let me I would move again.
I've danced 'tween sunlit strands of lover's hair;
Helped form the final words before your death.
I've pitied you and plied your sails with air;
Gave blessing when you rose upon my breath.
And after all of this I am amazed,
That I am cursed far more than I am praised.
"
"79","""Moving Mountains""","

I speak in many tongues to many men;
Argue with angels and I always win,
But I don't know the first thing about love.
I prophesy and know all mysteries;
All hidden things are opened up to me
But I don't know the first thing about love
I have the keys to open any door;
I give all of my possessions to the poor,
But I don't know the first thing about love
And moving mountains ain't nothing to me;
I've faith enough to cast them to the sea,
But I don't know the first thing about love
But all other things shall fade away;
While love stands alone and still holds sway
All other things shall fade away;
Into the ground into the grey.
I give my body up unto the flames;
And never once have I denied your name
But I don't know the first thing about love.
"
"80","""Digging My Own Grave""","

It's not what you think
Just one more little bet
Just another cigarette
Just one more drink
So lend me just a little more
You know cancer can't catch me
Let's have another drink or three
Don't be a bore
But oh, don't I know
I'm just digging my own grave
Someone else please save myself from me
And oh, lord I know
I'm just digging my own grave
Can someone save myself from me?
I look, I don't touch
It's really no big deal
I'll quit it when I feel I've seen enough
Oh, don't call it an affair
It's just a little fling
She doesn't mean a thing to me, I swear
But oh, don't I know
I'm just digging my own grave
Someone else please save myself from me
And oh, lord I know
I'm just digging my own grave
Someone save myself from me
"
"81","""The Lion And The Wolf""","

The lion's outside of your door
The wolf's in your bed
The lion's claws are sharpened for war
The wolf's teeth are red
And what a monstrous sight he makes,
Mocking man's best friend
When both the wolf and lion crave 
The same thing in the end
The lion's outside of your door
The wolf's in your bed
The wolf, he howls
The lion does roar
The wolf lets him in
The lion runs in through the door
The real fun begins
As they both rush upon you and 
Rip open your flesh
The lion eats his fill and then
The wolf cleans up the mess
The lion's outside of your door
The wolf's in your bed[x2]
"
"82","""Come All You Weary""","

Come all you weary with your heavy loads
Lay down your burdens find rest for your souls
Cause my yoke is easy and my burden is kind
I’ll take yours upon me and you can take mine
Come all you weary move through the earth
You've been spurned at fine restaurants and kicked out of church
Got a couple of loaves sit down at my feet
Lend me your ears and we'll break bread and eat
Come all you weary
Come gather round near me
Find rest for your souls
Come all you weary, you cripples you lame
I’ll help you along you can lay down your canes
We’ve got a long way to go but we’ll travel as friends
The lights growing bright further on further in
Come all you weary
Come gather round near me
Find rest for your souls
Rest for your souls
Come all you weary
Come gather round near me
Find rest for your souls
Rest for your souls [x3]
"
